JUGADOR: 01
SALA: 02
OBJETO: OB01-06
OBJETO: OB02-10
OBJETO: OB03-05
OBJETO: OB04-03
OBJETO: OB05-07
CONEXION: C01-Activa
CONEXION: C02-Activa
CONEXION: C03-Bloqueada
CONEXION: C04-Bloqueada
CONEXION: C05-Activa
CONEXION: C06-Bloqueada
CONEXION: C07-Bloqueada
CONEXION: C08-Bloqueada
CONEXION: C09-Bloqueada
CONEXION: C10-Bloqueada
CONEXION: C11-Bloqueada
CONEXION: C12-Activa
CONEXION: C13-Activa
CONEXION: C14-Bloqueada
CONEXION: C15-Bloqueada
CONEXION: C16-Activa
CONEXION: C17-Bloqueada
CONEXION: C18-Bloqueada
CONEXION: C19-Bloqueada
CONEXION: C20-Bloqueada
CONEXION: C21-Bloqueada
CONEXION: C22-Bloqueada
PUZLE: P01-Pendiente
PUZLE: P02-Pendiente
PUZLE: P03-Pendiente
PUZLE: P04-Pendiente
PUZLE: P05-Pendiente
PUZLE: P06-Pendiente
PUZLE: P07-Pendiente
PUZLE: P08-Pendiente
PUZLE: P09-Pendiente
PUZLE: P10-Pendiente

